                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.64677,                0.35727,                0.84616,                0.71407,                0.65531,                 0.6191,                0.47763,                0.69977,                 0.3678,                0.88473,             0.00036335,             0.00036335,             0.00036335
                     37,                0.62947,                0.35156,                0.84818,                0.65543,                0.64719,                0.63198,                0.49452,                0.64679,                0.35555,                0.87342,             0.00035784,             0.00035784,             0.00035784
                     38,                0.62233,                0.34967,                0.84774,                 0.7892,                0.61791,                 0.6298,                0.49388,                0.64258,                0.35815,                0.87048,             0.00035234,             0.00035234,             0.00035234
                     39,                0.60936,                0.34325,                0.84162,                0.77922,                0.62635,                0.63677,                0.49663,                0.65239,                0.35244,                0.87444,             0.00034683,             0.00034683,             0.00034683
                     40,                0.61334,                0.34175,                0.84251,                0.75204,                0.61168,                0.62713,                0.50254,                0.63891,                0.34824,                 0.8757,             0.00034133,             0.00034133,             0.00034133
                     41,                0.59999,                0.33659,                0.84125,                0.75408,                0.61588,                0.62913,                0.49544,                0.63049,                0.34169,                0.87588,             0.00033582,             0.00033582,             0.00033582
                     42,                0.58801,                   0.33,                0.83912,                0.77095,                0.62408,                0.62927,                0.49499,                0.64085,                0.35065,                0.87655,             0.00033032,             0.00033032,             0.00033032
                     43,                0.58372,                0.33327,                0.83918,                 0.6917,                0.61717,                0.61714,                0.48967,                 0.6446,                0.34687,                0.87893,             0.00032482,             0.00032482,             0.00032482
                     44,                0.59105,                0.33471,                0.83666,                0.69966,                0.61793,                 0.6364,                0.50016,                0.63472,                0.34225,                0.87513,             0.00031931,             0.00031931,             0.00031931
                     45,                0.56442,                0.32202,                0.83404,                0.85228,                0.56537,                 0.6346,                0.51097,                0.64175,                0.34735,                0.87715,             0.00031381,             0.00031381,             0.00031381
                     46,                0.57899,                0.32822,                0.83824,                0.76671,                0.61695,                0.62312,                0.50211,                0.61726,                0.33718,                 0.8699,              0.0003083,              0.0003083,              0.0003083
                     47,                0.57044,                 0.3263,                0.83676,                0.77843,                0.59892,                0.63219,                0.49772,                 0.6271,                0.33634,                 0.8707,              0.0003028,              0.0003028,              0.0003028
                     48,                0.56963,                0.32368,                0.83468,                0.70802,                0.64988,                0.62895,                0.50865,                 0.6285,                0.33974,                0.87306,             0.00029729,             0.00029729,             0.00029729
                     49,                0.57249,                0.32615,                0.83397,                0.73888,                0.59837,                0.63557,                0.51218,                0.60943,                0.33091,                0.87026,             0.00029179,             0.00029179,             0.00029179
                     50,                0.56337,                0.32087,                0.83524,                 0.7062,                0.63956,                0.63253,                0.49933,                0.62451,                0.33329,                0.86978,             0.00028628,             0.00028628,             0.00028628
                     51,                0.55268,                0.31796,                0.82953,                0.76732,                0.62468,                0.64115,                0.51251,                0.61227,                0.32834,                0.86945,             0.00028078,             0.00028078,             0.00028078
                     52,                0.56104,                0.31841,                0.83626,                0.70433,                0.64924,                0.63237,                0.51356,                0.61698,                0.33241,                0.86831,             0.00027528,             0.00027528,             0.00027528
                     53,                0.54722,                0.31689,                0.83134,                0.71632,                0.61892,                0.63169,                0.50846,                0.61507,                0.33088,                0.86973,             0.00026977,             0.00026977,             0.00026977
                     54,                0.56769,                0.32415,                0.83312,                0.73956,                0.63333,                0.63395,                0.51284,                0.60589,                0.33098,                 0.8678,             0.00026427,             0.00026427,             0.00026427
                     55,                0.56494,                0.32395,                 0.8326,                0.76029,                0.63226,                0.65048,                0.51885,                0.62201,                0.33577,                0.87582,             0.00025876,             0.00025876,             0.00025876
                     56,                0.54944,                0.31626,                0.83103,                   0.82,                0.62352,                0.65045,                0.52743,                0.60171,                0.32811,                0.86869,             0.00025326,             0.00025326,             0.00025326
                     57,                0.55116,                0.31913,                0.83139,                0.78473,                0.61572,                0.64054,                0.52213,                0.60833,                0.33125,                0.87023,             0.00024775,             0.00024775,             0.00024775
                     58,                0.54122,                0.31251,                0.83027,                0.74182,                0.60587,                0.63341,                0.51467,                0.59306,                0.32081,                0.86825,             0.00024225,             0.00024225,             0.00024225
                     59,                0.51888,                0.30225,                0.82927,                0.74646,                 0.6109,                0.64034,                0.52339,                0.58437,                0.32551,                0.86364,             0.00023674,             0.00023674,             0.00023674
                     60,                 0.5257,                0.30255,                0.82687,                0.77183,                0.62165,                 0.6456,                0.51816,                0.57967,                0.32293,                0.86403,             0.00023124,             0.00023124,             0.00023124
                     61,                0.53052,                0.30501,                 0.8307,                  0.819,                 0.6252,                0.65193,                 0.5295,                0.58656,                0.32099,                0.86477,             0.00022574,             0.00022574,             0.00022574
                     62,                0.52248,                0.30236,                0.82731,                0.75876,                0.61548,                0.64516,                0.52704,                0.58271,                 0.3303,                0.86574,             0.00022023,             0.00022023,             0.00022023
                     63,                0.52694,                0.30287,                0.82792,                0.73027,                0.61288,                0.63942,                0.52476,                0.57803,                0.32887,                0.86271,             0.00021473,             0.00021473,             0.00021473
